category_slug|human_readable_name
amenity/motorcycle_parking|Motorcycle Parking
leisure/marina|Marina
leisure/slipway_drivable|Drivable Slipway
shop/motorcycle|Motorcycle Store
office/financial|Financial Office
attraction/big_wheel|Big Wheel
natural/sand|Sand
barrier/planter|Planter
office/government/prosecutor|Prosecutor Office
man_made/manhole/drain|Drain Manhole
amenity/school|School
power/generator/method/photovoltaic|Photovoltaic Power Generator
golf/rough|Golf Rough
man_made/pumping_station|Pumping Station
man_made/bridge|Bridge
healthcare/sample_collection|Sample Collection Healthcare
amenity/studio/audio|Audio Studio
amenity/restaurant/seafood|Seafood Restaurant
amenity/restaurant/american|American Restaurant
craft/carpenter|Carpenter
amenity/motorcycle_rental|Motorcycle Rental
aeroway/parking_position|Parking Position
shop/pastry|Pastry Shop
leisure/fitness_station/sit-up|Sit-up Fitness Station
shop/tool_hire|Tool Hire Shop
amenity/place_of_worship/sikh|Sikh Place of Worship
amenity/restaurant/greek|Greek Restaurant
waterway/boatyard|Boatyard
shop/hairdresser|Hairdresser
amenity/bicycle_parking/building|Building Bicycle Parking
amenity/fast_food/kebab|Kebab Fast Food
building/garages|Garages
amenity/car_wash|Car Wash
aerialway/drag_lift|Drag Lift
office/political_party|Political Party Office
craft/gardener|Gardener
building|Building
public_transport/station_monorail|Monorail Station
amenity/vending_machine/coffee|Coffee Vending Machine
power/plant/source/solar|Solar Power Plant
highway/tertiary|Tertiary Highway
amenity/studio/audio|Audio Studio
amenity/fast_food/cafeteria|Cafeteria Fast Food
public_transport/station|Station
leisure/firepit|Fire Pit
railway/tram_crossing|Tram Crossing
highway/raceway|Raceway
shop/anime|Anime Shop
natural/peak|Peak
natural/spring|Spring
building/commercial|Commercial Building
public_transport/station_light_rail|Light Rail Station
amenity/language_school|Language School
shop/variety_store|Variety Store
shop/psychic|Psychic Shop
shop/musical_instrument|Musical Instrument Store
amenity/parking/street-side|Street-side Parking
amenity/university|University
highway/speed_camera|Speed Camera
landuse/aquaculture|Aquaculture
golf/bunker|Golf Bunker
amenity/lounger|Lounger
natural/tree_row|Tree Row
craft/watchmaker|Watchmaker
craft/plasterer|Plasterer
amenity/restaurant/asian|Asian Restaurant
amenity/fast_food/burger|Burger Fast Food
leisure/ice_rink|Ice Rink
shop/jewelry|Jewelry Shop
man_made/adit|Adit
leisure/fitness_station/balance_beam|Balance Beam Fitness Station
type/route|Route
shop/car/second_hand|Second Hand Car Shop
power/switch|Switch
leisure/fitness_station/rings|Rings Fitness Station
craft/electronics_repair|Electronics Repair
shop/motorcycle_repair|Motorcycle Repair Shop
shop/hairdresser_supply|Hairdresser Supply Shop
man_made/tower/defensive|Defensive Tower
attraction/river_rafting|River Rafting Attraction
man_made/mast|Mast
building/entrance|Entrance
barrier/height_restrictor|Height Restrictor
